exercise_name,primary_muscle,secondary_muscle,body_part,type,equipment,difficulty
Exercise 356,Triceps,Hip Flexors,Lower Body,Strength,Barbell,Beginner
Exercise 357,Glutes,Abs,Core,Stability,Resistance Band,Beginner
Exercise 358,Shoulders,Traps,Upper Body,Stability,Dumbbell,Advanced
Exercise 359,Triceps,Obliques,Full Body,Flexibility,Machine,Intermediate
Exercise 360,Core,,Core,Stability,Dumbbell,Intermediate
Exercise 361,Glutes,Forearms,Full Body,Endurance,Bodyweight,Advanced
Exercise 362,Biceps,Abs,Core,Stability,Machine,Beginner
Exercise 363,Triceps,Abs,Full Body,Flexibility,Resistance Band,Intermediate
Exercise 364,Calves,Hip Flexors,Upper Body,Stability,Barbell,Beginner
Exercise 365,Calves,Forearms,Upper Body,Strength,Kettlebell,Advanced
Exercise 366,Shoulders,Traps,Lower Body,Stability,Kettlebell,Advanced
Exercise 367,Shoulders,Abs,Full Body,Flexibility,Dumbbell,Advanced
Exercise 368,Glutes,Abs,Upper Body,Strength,Bodyweight,Intermediate
Exercise 369,Back,Hip Flexors,Upper Body,Flexibility,Bodyweight,Intermediate
Exercise 370,Quadriceps,Hip Flexors,Full Body,Stability,Machine,Intermediate
Exercise 371,Triceps,Abs,Full Body,Strength,Dumbbell,Advanced
Exercise 372,Quadriceps,Obliques,Core,Strength,Bodyweight,Advanced
Exercise 373,Quadriceps,Obliques,Lower Body,Stability,Dumbbell,Beginner
Exercise 374,Back,Hip Flexors,Lower Body,Stability,Machine,Intermediate
Exercise 375,Triceps,Obliques,Full Body,Strength,Resistance Band,Advanced
Exercise 376,Biceps,Forearms,Upper Body,Stability,Barbell,Beginner
Exercise 377,Chest,,Lower Body,Strength,Kettlebell,Advanced
Exercise 378,Shoulders,Lats,Full Body,Flexibility,Barbell,Advanced
Exercise 379,Triceps,Hip Flexors,Lower Body,Endurance,Machine,Intermediate
Exercise 380,Hamstrings,,Full Body,Flexibility,Machine,Intermediate
Exercise 381,Glutes,Lats,Core,Flexibility,Bodyweight,Intermediate
Exercise 382,Glutes,Abs,Upper Body,Endurance,Dumbbell,Beginner
Exercise 383,Triceps,Obliques,Upper Body,Flexibility,Machine,Advanced
Exercise 384,Back,Lower Back,Lower Body,Strength,Resistance Band,Intermediate
Exercise 385,Quadriceps,Traps,Lower Body,Endurance,Resistance Band,Intermediate
Exercise 386,Quadriceps,Traps,Lower Body,Flexibility,Barbell,Advanced
Exercise 387,Quadriceps,Lats,Lower Body,Flexibility,Kettlebell,Advanced
Exercise 388,Quadriceps,Abs,Upper Body,Flexibility,Machine,Advanced
Exercise 389,Chest,Abs,Full Body,Strength,Kettlebell,Intermediate
Exercise 390,Chest,Adductors,Lower Body,Flexibility,Bodyweight,Intermediate
Exercise 391,Glutes,Lats,Core,Flexibility,Barbell,Beginner
Exercise 392,Biceps,Forearms,Upper Body,Stability,Barbell,Intermediate
Exercise 393,Back,Lats,Lower Body,Flexibility,Barbell,Intermediate
Exercise 394,Triceps,Traps,Lower Body,Stability,Resistance Band,Advanced
Exercise 395,Shoulders,Adductors,Full Body,Endurance,Bodyweight,Intermediate
Exercise 396,Triceps,Forearms,Core,Flexibility,Machine,Intermediate
Exercise 397,Glutes,Obliques,Upper Body,Flexibility,Kettlebell,Beginner
Exercise 398,Shoulders,Lower Back,Full Body,Stability,Bodyweight,Beginner
Exercise 399,Back,Lower Back,Core,Strength,Bodyweight,Advanced
Exercise 400,Core,Hip Flexors,Full Body,Endurance,Barbell,Advanced
Exercise 401,Hamstrings,Abs,Lower Body,Endurance,Bodyweight,Advanced
Exercise 402,Glutes,Hip Flexors,Lower Body,Strength,Resistance Band,Advanced
Exercise 403,Hamstrings,Lats,Lower Body,Endurance,Resistance Band,Intermediate
Exercise 404,Hamstrings,Lower Back,Lower Body,Stability,Kettlebell,Advanced
Exercise 405,Quadriceps,Lower Back,Upper Body,Flexibility,Barbell,Advanced
Exercise 406,Quadriceps,Neck,Upper Body,Endurance,Bodyweight,Advanced
Exercise 407,Back,Neck,Lower Body,Strength,Resistance Band,Beginner
Exercise 408,Triceps,Lower Back,Lower Body,Strength,Resistance Band,Beginner
Exercise 409,Shoulders,Hip Flexors,Core,Strength,Machine,Intermediate
Exercise 410,Core,,Full Body,Flexibility,Resistance Band,Intermediate
Exercise 411,Triceps,Adductors,Full Body,Flexibility,Barbell,Beginner
Exercise 412,Hamstrings,Lower Back,Lower Body,Flexibility,Bodyweight,Advanced
Exercise 413,Back,Lats,Core,Flexibility,Bodyweight,Advanced
Exercise 414,Biceps,,Upper Body,Endurance,Dumbbell,Intermediate
Exercise 415,Triceps,Abs,Core,Stability,Barbell,Intermediate
Exercise 416,Triceps,Lower Back,Upper Body,Strength,Kettlebell,Intermediate
Exercise 417,Glutes,Abs,Core,Endurance,Kettlebell,Beginner
Exercise 418,Biceps,Traps,Full Body,Flexibility,Resistance Band,Beginner
Exercise 419,Quadriceps,,Upper Body,Strength,Kettlebell,Beginner
Exercise 420,Biceps,Lats,Full Body,Endurance,Dumbbell,Beginner
Exercise 421,Calves,Forearms,Upper Body,Stability,Machine,Advanced
Exercise 422,Hamstrings,Obliques,Upper Body,Flexibility,Dumbbell,Advanced
Exercise 423,Calves,Lats,Upper Body,Endurance,Machine,Intermediate
Exercise 424,Biceps,Obliques,Full Body,Endurance,Barbell,Advanced
Exercise 425,Shoulders,Obliques,Full Body,Stability,Bodyweight,Advanced
Exercise 426,Shoulders,Obliques,Full Body,Endurance,Bodyweight,Advanced
Exercise 427,Calves,Neck,Core,Stability,Kettlebell,Beginner
Exercise 428,Biceps,Forearms,Lower Body,Strength,Bodyweight,Advanced
Exercise 429,Glutes,Lats,Core,Strength,Kettlebell,Beginner
Exercise 430,Glutes,Obliques,Lower Body,Strength,Barbell,Beginner
Exercise 431,Shoulders,Abs,Upper Body,Endurance,Bodyweight,Intermediate
Exercise 432,Back,Neck,Full Body,Strength,Bodyweight,Beginner
Exercise 433,Hamstrings,Abs,Lower Body,Strength,Bodyweight,Intermediate
Exercise 434,Hamstrings,,Lower Body,Flexibility,Bodyweight,Advanced
Exercise 435,Shoulders,Adductors,Core,Endurance,Dumbbell,Beginner
Exercise 436,Chest,Hip Flexors,Core,Stability,Kettlebell,Intermediate
Exercise 437,Calves,Obliques,Core,Stability,Kettlebell,Intermediate
Exercise 438,Triceps,Adductors,Lower Body,Strength,Barbell,Advanced
Exercise 439,Core,Hip Flexors,Full Body,Flexibility,Machine,Intermediate
Exercise 440,Glutes,Abs,Upper Body,Stability,Resistance Band,Intermediate
Exercise 441,Glutes,,Lower Body,Endurance,Kettlebell,Intermediate
Exercise 442,Chest,Forearms,Core,Flexibility,Kettlebell,Intermediate
Exercise 443,Glutes,Forearms,Core,Endurance,Resistance Band,Beginner
Exercise 444,Shoulders,Neck,Core,Stability,Dumbbell,Intermediate
Exercise 445,Triceps,Forearms,Core,Stability,Kettlebell,Beginner
Exercise 446,Chest,Lower Back,Full Body,Flexibility,Resistance Band,Advanced
Exercise 447,Biceps,Adductors,Full Body,Stability,Machine,Intermediate
Exercise 448,Quadriceps,Forearms,Lower Body,Stability,Bodyweight,Intermediate
Exercise 449,Biceps,Traps,Core,Flexibility,Dumbbell,Advanced
Exercise 450,Biceps,Neck,Lower Body,Strength,Dumbbell,Intermediate
Exercise 451,Core,Neck,Full Body,Endurance,Resistance Band,Beginner
Exercise 452,Shoulders,Hip Flexors,Full Body,Endurance,Resistance Band,Beginner
Exercise 453,Calves,Abs,Upper Body,Strength,Machine,Advanced
Exercise 454,Glutes,Abs,Upper Body,Endurance,Bodyweight,Intermediate
Exercise 455,Calves,,Core,Stability,Resistance Band,Beginner
Exercise 456,Glutes,Forearms,Lower Body,Stability,Resistance Band,Advanced
Exercise 457,Core,Traps,Lower Body,Stability,Bodyweight,Beginner
Exercise 458,Biceps,Lats,Core,Stability,Machine,Beginner
Exercise 459,Calves,,Lower Body,Stability,Resistance Band,Advanced
Exercise 460,Glutes,Lower Back,Lower Body,Strength,Bodyweight,Advanced
Exercise 461,Glutes,Traps,Core,Endurance,Barbell,Advanced
Exercise 462,Hamstrings,Forearms,Lower Body,Strength,Kettlebell,Advanced
Exercise 463,Quadriceps,Hip Flexors,Lower Body,Flexibility,Barbell,Beginner
Exercise 464,Hamstrings,Obliques,Upper Body,Stability,Kettlebell,Advanced
Exercise 465,Biceps,Adductors,Full Body,Stability,Machine,Intermediate
Exercise 466,Back,Obliques,Upper Body,Stability,Kettlebell,Intermediate
Exercise 467,Glutes,Abs,Upper Body,Stability,Resistance Band,Advanced
Exercise 468,Glutes,Hip Flexors,Lower Body,Flexibility,Barbell,Beginner
Exercise 469,Glutes,,Lower Body,Stability,Barbell,Advanced
Exercise 470,Glutes,Lower Back,Upper Body,Flexibility,Bodyweight,Advanced
Exercise 471,Quadriceps,Lats,Full Body,Stability,Kettlebell,Advanced
Exercise 472,Quadriceps,Forearms,Core,Stability,Resistance Band,Beginner
Exercise 473,Quadriceps,Abs,Full Body,Flexibility,Bodyweight,Intermediate
Exercise 474,Triceps,Traps,Full Body,Stability,Kettlebell,Advanced
Exercise 475,Quadriceps,Abs,Full Body,Stability,Kettlebell,Intermediate
Exercise 476,Triceps,Obliques,Upper Body,Strength,Kettlebell,Advanced
Exercise 477,Quadriceps,Lats,Upper Body,Endurance,Dumbbell,Beginner
Exercise 478,Calves,Forearms,Lower Body,Endurance,Machine,Beginner
Exercise 479,Chest,Forearms,Core,Endurance,Kettlebell,Advanced
Exercise 480,Core,,Upper Body,Flexibility,Kettlebell,Advanced
Exercise 481,Back,Traps,Full Body,Flexibility,Bodyweight,Advanced
Exercise 482,Shoulders,Lower Back,Full Body,Flexibility,Kettlebell,Intermediate
Exercise 483,Quadriceps,Adductors,Upper Body,Flexibility,Dumbbell,Advanced
Exercise 484,Glutes,Lower Back,Upper Body,Strength,Machine,Intermediate
Exercise 485,Shoulders,,Full Body,Flexibility,Barbell,Intermediate
Exercise 486,Chest,Obliques,Upper Body,Stability,Kettlebell,Intermediate
Exercise 487,Back,,Lower Body,Endurance,Resistance Band,Intermediate
Exercise 488,Shoulders,Lower Back,Full Body,Flexibility,Dumbbell,Advanced
Exercise 489,Triceps,Traps,Lower Body,Stability,Machine,Intermediate
Exercise 490,Calves,Abs,Lower Body,Stability,Bodyweight,Beginner
